date,actual_price,forecast_price_ag,forecast_price_naive,actual_log_return,forecast_log_return_ag,forecast_log_return_naive,forecast_volatility_ag,forecast_variance_ag,forecast_variance_ewma,actual_variance_proxy,var_thresh_ag,es_ag,violation_ag,var_thresh_ewma,es_ewma,violation_ewma
2023-10-13,21.83491707,21.24047478,21.30026817,0.02479073,-0.00281111,0.00000000,0.03181301,0.00101207,0.00102271,0.00061458,-0.05509034,-0.06875745,0,-0.05260215,-0.06596522,0
2023-10-14,22.01171875,21.80155057,21.83491707,0.00806459,-0.00152929,0.00000000,0.03077336,0.00094700,0.00099822,0.00006504,-0.05208952,-0.06538495,0,-0.05196858,-0.06517070,0
2023-10-15,21.92202759,21.99838330,22.01171875,-0.00408302,-0.00060602,0.00000000,0.02776325,0.00077080,0.00094223,0.00001667,-0.04606448,-0.05899475,0,-0.05049007,-0.06331659,0
2023-10-16,23.98295784,21.92563839,21.92202759,0.08985153,0.00016470,0.00000000,0.02746148,0.00075413,0.00088670,0.00807330,-0.04456159,-0.05843048,0,-0.04897958,-0.06142236,0
2023-10-17,23.95931816,24.03055150,23.98295784,-0.00098617,0.00198251,0.00000000,0.03251152,0.00105700,0.00131789,0.00000097,-0.04970480,-0.06984464,0,-0.05971280,-0.07488226,0
2023-10-18,23.43213844,23.99624118,23.95931816,-0.02224880,0.00153988,0.00000000,0.03254432,0.00105913,0.00123888,0.00049501,-0.04985278,-0.07076753,0,-0.05789507,-0.07260275,0
2023-10-19,24.93791962,23.46130395,23.43213844,0.06228100,0.00124391,0.00000000,0.03256232,0.00106030,0.00119425,0.00387892,-0.05010883,-0.07117551,0,-0.05684263,-0.07128295,0
2023-10-20,27.03367424,25.00646756,24.93791962,0.08069376,0.00274497,0.00000000,0.03329403,0.00110849,0.00135533,0.00651148,-0.05064020,-0.07014890,0,-0.06055490,-0.07593828,0
2023-10-21,29.38622856,27.15969092,27.03367424,0.08344287,0.00465064,0.00000000,0.04798744,0.00230279,0.00166470,0.00696271,-0.07312757,-0.09875703,0,-0.06711116,-0.08416010,0
2023-10-22,29.03668213,29.53757920,29.38622856,-0.01196622,0.00513718,0.00000000,0.05436299,0.00295533,0.00198258,0.00014319,-0.08328508,-0.11120219,0,-0.07323898,-0.09184464,0
2023-10-23,31.85098457,29.19578614,29.03668213,0.09250836,0.00546446,0.00000000,0.03184714,0.00101424,0.00187221,0.00855780,-0.04604163,-0.06342052,0,-0.07117131,-0.08925170,0
2023-10-24,30.15153694,32.09260723,31.85098457,-0.05483240,0.00755740,0.00000000,0.05345616,0.00285756,0.00227335,0.00300659,-0.07878735,-0.10830372,0,-0.07842604,-0.09834942,0
2023-10-25,32.46306610,30.35490545,30.15153694,0.07386712,0.00672224,0.00000000,0.04830993,0.00233385,0.00231734,0.00545635,-0.07106382,-0.09847605,0,-0.07918127,-0.09929651,0
2023-10-26,32.77549362,32.70921423,32.46306610,0.00957808,0.00755380,0.00000000,0.05162716,0.00266536,0.00250568,0.00009174,-0.07660153,-0.10238720,0,-0.08233612,-0.10325282,0
2023-10-27,31.73969841,33.03571522,32.77549362,-0.03211288,0.00790817,0.00000000,0.03604988,0.00129959,0.00236085,0.00103124,-0.05084632,-0.06888879,0,-0.07992105,-0.10022423,0
2023-10-28,31.65331841,31.94290886,31.73969841,-0.00272522,0.00638200,0.00000000,0.03833800,0.00146980,0.00228107,0.00000743,-0.05613087,-0.07519719,0,-0.07855912,-0.09851631,0
2023-10-29,32.82260895,31.87848407,31.65331841,0.03627459,0.00708831,0.00000000,0.03397461,0.00115427,0.00214465,0.00131585,-0.04801565,-0.06603099,0,-0.07617381,-0.09552503,0
2023-10-30,34.96233749,33.10687383,32.82260895,0.06315384,0.00862335,0.00000000,0.03512327,0.00123364,0.00209492,0.00398841,-0.04839763,-0.06683165,0,-0.07528550,-0.09441106,0
2023-10-31,38.51951599,35.31539577,34.96233749,0.09689361,0.01004760,0.00000000,0.04332749,0.00187727,0.00220853,0.00938837,-0.06026675,-0.08309848,0,-0.07729994,-0.09693725,0
2023-11-01,41.46154404,38.96674928,38.51951599,0.07360133,0.01154368,0.00000000,0.04954797,0.00245500,0.00263932,0.00541716,-0.06929457,-0.09373726,0,-0.08450327,-0.10597051,0
2023-11-02,40.20756912,41.99218059,41.46154404,-0.03071108,0.01271708,0.00000000,0.04901971,0.00240293,0.00280599,0.00094317,-0.06779318,-0.08916805,0,-0.08713057,-0.10926525,0
2023-11-03,39.51976013,40.70377640,40.20756912,-0.01725446,0.01226561,0.00000000,0.04999368,0.00249937,0.00269422,0.00029772,-0.06987832,-0.09144266,0,-0.08537763,-0.10706699,0
2023-11-04,42.34659576,39.96943391,39.51976013,0.06908723,0.01131421,0.00000000,0.05064701,0.00256512,0.00255043,0.00477305,-0.07179895,-0.09433467,0,-0.08306809,-0.10417074,0
